"Symbol","Description","Universe","Sector","Industry","Sub-Industry","Morningstar Rating"
"COR","CoreSite Realty Corp","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","3 stars"
"COST","Costco Wholesale Corp","Domestic","Consumer Staples","Food & Staples Retailing","Hypermarkets & Super Centers","2 stars"
"COTY","Coty Inc","Domestic","Consumer Staples","Personal Products","Personal Products","3 stars"
"COUP","Coupa Software Inc","Domestic","Information Technology","Software","Application Software","3 stars"
"CP","Canadian Pacific Railway Ltd","International (ADR)","Industrials","Road & Rail","Railroads","4 stars"
"CPB","Campbell Soup Co","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","2 stars"
"CPRI","Capri Holdings Ltd","Domestic","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","5 stars"
"CQP","Cheniere Energy Partners LP","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","4 stars"
"CR","Crane Co","Domestic","Industrials","Machinery","Industrial Machinery","5 stars"
"CRC","California Resources Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","3 stars"
"CRH","CRH PLC","International (ADR)","Materials","Construction Materials","Construction Materials","3 stars"
"CRL","Charles River Laboratories International Inc","Domestic","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","2 stars"
"CRM","Salesforce.Com Inc","Domestic","Information Technology","Software","Application Software","4 stars"
"CRON","Cronos Group Inc","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals","4 stars"
"CRS","Carpenter Technology Corp","Domestic","Materials","Metals & Mining","Steel","5 stars"
"CRTO","Criteo SA","International (ADR)","Communication Services","Media","Advertising","4 stars"
"CRWD","Crowdstrike Holdings Inc","Domestic","Information Technology","Software","Systems Software","4 stars"
"CS","Credit Suisse Group AG","International (ADR)","Financials","Capital Markets","Diversified Capital Markets","5 stars"
"CSCO","Cisco Systems Inc","Domestic","Information Technology","Communications Equipment","Communications Equipment","4 stars"
"CSGP","CoStar Group Inc","Domestic","Industrials","Professional Services","Research & Consulting Services","3 stars"
"CSOD","Cornerstone OnDemand Inc","Domestic","Information Technology","Software","Application Software","4 stars"
"CSX","CSX Corp","Domestic","Industrials","Road & Rail","Railroads","4 stars"
"CTAS","Cintas Corp","Domestic","Industrials","Commercial Services & Supplies","Diversified Support Services","1 star"
"CTL","Centurylink Inc","Domestic","Communication Services","Diversified Telecommunication Services","Alternative Carriers","3 stars"
"CTSH","Cognizant Technology Solutions Corp","Domestic","Information Technology","IT Services","IT Consulting & Other Services","4 stars"
"CTVA","Corteva Inc","Domestic","Materials","Chemicals","Fertilizers & Agricultural Chemicals","4 stars"
"CTXS","Citrix Systems Inc","Domestic","Information Technology","Software","Application Software","3 stars"
"CUK","Carnival PLC","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","5 stars"
"CURLF","Curaleaf Holdings Inc","Domestic","Health Care","Pharmaceuticals","Pharmaceuticals","5 stars"
"CVIA","Covia Holdings Corp","Domestic","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","4 stars"
"CVS","CVS Health Corp","Domestic","Health Care","Health Care Providers & Services","Health Care Services","5 stars"
"CVX","Chevron Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas","5 stars"
"CX","Cemex SAB de CV","International (ADR)","Materials","Construction Materials","Construction Materials","4 stars"
"CXO","Concho Resources Inc","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","4 stars"
"CY","Cypress Semiconductor Corp","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","4 stars"
"CZR","Caesars Entertainment Corp","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","4 stars"
"D","Dominion Energy Inc","Domestic","Utilities","Multi-Utilities","Multi-Utilities","3 stars"
"DAL","Delta Air Lines Inc","Domestic","Industrials","Airlines","Airlines","4 stars"
"DANOY","Danone SA","International (ADR)","Consumer Staples","Food Products","Packaged Foods & Meats","4 stars"
"DASTY","Dassault Systemes SE","International (ADR)","Information Technology","Software","Application Software","3 stars"
"DBX","Dropbox Inc","Domestic","Information Technology","Software","Application Software","2 stars"
"DCI","Donaldson Company Inc","Domestic","Industrials","Machinery","Industrial Machinery","3 stars"
"DCMYY","NTT Docomo Inc","International (ADR)","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services","2 stars"
"DCP","DCP Midstream LP","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","3 stars"
"DD","Dupont De Nemours Inc","Domestic","Materials","Chemicals","Specialty Chemicals","5 stars"
"DE","Deere & Co","Domestic","Industrials","Machinery","Agricultural & Farm Machinery","4 stars"
"DELL","Dell Technologies Inc","Domestic","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","4 stars"
"DEO","Diageo PLC","International (ADR)","Consumer Staples","Beverages","Distillers & Vintners","4 stars"
"DFS","Discover Financial Services","Domestic","Financials","Consumer Finance","Consumer Finance","4 stars"
"DG","Dollar General Corp","Domestic","Consumer Discretionary","Multiline Retail","General Merchandise Stores","2 stars"
"DGX","Quest Diagnostics Inc","Domestic","Health Care","Health Care Providers & Services","Health Care Services","3 stars"
"DHI","D.R. Horton Inc","Domestic","Consumer Discretionary","Household Durables","Homebuilding","3 stars"
"DHR","Danaher Corp","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","2 stars"
"DIS","Walt Disney Co","Domestic","Communication Services","Entertainment","Movies & Entertainment","4 stars"
"DISCA","Discovery Inc","Domestic","Communication Services","Media","Broadcasting","4 stars"
"DISCK","Discovery Inc","Domestic","Communication Services","Media","Broadcasting","4 stars"
"DISH","DISH Network Corp","Domestic","Communication Services","Media","Cable & Satellite","4 stars"
"DKS","Dick's Sporting Goods Inc","Domestic","Consumer Discretionary","Specialty Retail","Specialty Stores","4 stars"
"DLPH","Delphi Technologies PLC","International (ADR)","Consumer Discretionary","Auto Components","Auto Parts & Equipment","5 stars"
"DLR","Digital Realty Trust Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","3 stars"
"DLTR","Dollar Tree Inc","Domestic","Consumer Discretionary","Multiline Retail","General Merchandise Stores","3 stars"
"DNKN","Dunkin' Brands Group Inc","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","4 stars"
"DNR","Denbury Resources Inc","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","4 stars"
"DO","Diamond Offshore Drilling Inc","Domestic","Energy","Energy Equipment & Services","Oil & Gas Drilling","4 stars"
"DOCU","DocuSign Inc","Domestic","Information Technology","Software","Application Software","3 stars"
"DOOO","BRP Inc","International (ADR)","Consumer Discretionary","Leisure Products","Leisure Products","4 stars"
"DOV","Dover Corp","Domestic","Industrials","Machinery","Industrial Machinery","3 stars"
"DPZ","Domino's Pizza Inc","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","2 stars"
"DRE","Duke Realty Corp","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Industrial REITs","3 stars"
"DRI","Darden Restaurants Inc","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","4 stars"
"DTE","DTE Energy Co","Domestic","Utilities","Multi-Utilities","Multi-Utilities","4 stars"
"DTEGY","Deutsche Telekom AG","International (ADR)","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","4 stars"
"DUK","Duke Energy Corp","Domestic","Utilities","Electric Utilities","Electric Utilities","3 stars"
